,abv,ibu,beer_name,style,ounces,brewery_name,city,state
453,0.08,57.0,Tour de Nez Belgian IPA (Current),Belgian IPA,16.0,Buckbean Brewing Company,Reno, NV
454,0.073,85.0,Black Adder IBA (Current),American Black Ale,16.0,Buckbean Brewing Company,Reno, NV
455,0.099,31.0,Very Noddy Lager (Current),Schwarzbier,16.0,Buckbean Brewing Company,Reno, NV
456,0.062,42.0,Tule Duck Red Ale (Current),American Amber / Red Ale,16.0,Buckbean Brewing Company,Reno, NV
457,0.0579999999999999,35.0,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,16.0,Buckbean Brewing Company,Reno, NV
458,0.052,40.0,Black Noddy Lager (Current),Schwarzbier,16.0,Buckbean Brewing Company,Reno, NV
459,0.053,17.916666666666668,Cleveland Beer Week 2013,Munich Helles Lager,16.0,Buckeye Brewing,Cleveland, OH
460,0.045,44.94117647058823,Painted Turtle,American Pale Ale (APA),12.0,BuckleDown Brewing,Lyons, IL
461,0.06,40.0,1836,American Blonde Ale,12.0,Buffalo Bayou Brewing Company,Houston, TX
462,0.06,20.0,Summer's Wit,Witbier,12.0,Buffalo Bayou Brewing Company,Houston, TX
463,0.09,118.0,More Cowbell,American Double / Imperial IPA,16.0,Buffalo Bayou Brewing Company,Houston, TX
464,0.065,29.894736842105264,Wrath of Pele,American Brown Ale,16.0,Burn 'Em Brewing,Michigan City, IN
